
2022/09/12 (16:43:03) | ===> btop++ v.1.2.9
2022/09/12 (16:43:03) | ERROR: Invalid RGB decimal value: "ba1a84"

2023/06/06 (21:11:37) | ===> btop++ v.1.2.13
2023/06/06 (21:11:37) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/02 (05:28:00) | ===> btop++ v.1.2.13
2023/08/02 (05:28:00) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2023/10/22 (15:50:35) | ===> btop++ v.1.2.13
2023/10/22 (15:50:35) | INFO: Logger set to INFO
2023/10/22 (15:50:36) | INFO: Logger set to INFO
2023/10/22 (15:50:36) | INFO: Logger set to DEBUG
2023/10/22 (15:50:37) | INFO: Logger set to DEBUG
2023/10/22 (15:50:38) | INFO: Logger set to INFO
